code_system,medcode_id,description
CPRD_medcode,545121000000114,Fragility fracture
CPRD_medcode,5526311000006115,Galeazzi fracture dislocation
CPRD_medcode,5526321000006111,Galeazzi's fracture of radius
CPRD_medcode,276484019,Halo skull traction for fracture of spine
CPRD_medcode,391384012,Hip fracture
CPRD_medcode,391393013,Hip fracture NOS
CPRD_medcode,312160015,Idiopathic osteoporosis with pathological fracture 9
CPRD_medcode,411019014,Internal fixation of fracture of spine
CPRD_medcode,4396051000006117,Intertrochanteric fracture
CPRD_medcode,4396091000006111,Intertrochanteric fracture of femur
CPRD_medcode,5462271000006119,Intracapsular fracture of neck of femur
CPRD_medcode,4684881000006117,Manipulation of spinal fracture
CPRD_medcode,557111000000111,Minimal trauma fracture
CPRD_medcode,556881000000111,Minimal trauma fracture due to unspecified osteoporosis
CPRD_medcode,4841671000006118,Multiple fracture of thoracic vertebrae
CPRD_medcode,319071017,"Multiple fractures of clavicle, scapula and humerus"
CPRD_medcode,7957621000006111,Multiple fractures of humerus
CPRD_medcode,318492017,Multiple fractures of lumbar spine and pelvis
CPRD_medcode,4840571000006113,Multiple fractures of lumbar spine and/or pelvis
CPRD_medcode,318725011,Multiple fractures of thoracic spine
CPRD_medcode,9707741000006117,Nail fixation of intertrochanteric fracture
CPRD_medcode,2593871000006115,NOF - Fracture of neck of femur
CPRD_medcode,451060018,Open Barton's fracture
CPRD_medcode,133435011,Open Colles' fracture
CPRD_medcode,318887013,Open dorsal Barton's fracture
CPRD_medcode,261541000006119,Open dorsal Barton's fracture-dislocation
CPRD_medcode,318890019,Open extra-articular fracture of distal radius
CPRD_medcode,4849021000006112,Open fracture dislocation radiocarpal joint
CPRD_medcode,319970018,Open fracture dislocation wrist
CPRD_medcode,318804015,"Open fracture distal humerus, bicondylar (T-Y fracture)"
CPRD_medcode,318803014,"Open fracture distal humerus, capitellum"
CPRD_medcode,318802016,"Open fracture distal humerus, lateral epicondyle"
CPRD_medcode,1230477016,"Open fracture distal humerus, medial epicondyle"
CPRD_medcode,1232322015,"Open fracture distal humerus, supracondylar"
CPRD_medcode,318889011,"Open fracture distal radius, intra-articular, die-punch"
CPRD_medcode,402862016,Open fracture of distal end of radius
CPRD_medcode,318877014,Open fracture of distal end of ulna
CPRD_medcode,318799013,"Open fracture of distal humerus, condyle(s) unspecified"
CPRD_medcode,318805019,"Open fracture of distal humerus, multiple"
CPRD_medcode,318806018,"Open fracture of distal humerus, not otherwise specified"
CPRD_medcode,318800012,"Open fracture of distal humerus, trochlea"
CPRD_medcode,299791000000114,"Open fracture of femur, upper epiphysis"
CPRD_medcode,6219701000006112,Open fracture of hip
CPRD_medcode,318777017,Open fracture of humerus
CPRD_medcode,318778010,Open fracture of humerus NOS
CPRD_medcode,1223146015,"Open fracture of humerus, shaft"
